Ex,ExN50,num_genes
1,6010,1
3,6010,2
4,6010,3
5,6010,4
6,6010,5
7,6010,6
8,6010,7
9,6010,9
10,6010,10
11,6010,12
12,6010,14
13,1089,16
14,1089,19
15,1140,22
16,1089,25
17,1089,28
18,1089,32
19,1080,37
20,1080,42
21,1080,47
22,923,54
23,938,61
24,1080,68
25,1064,76
26,1039,85
27,938,95
28,954,105
29,935,117
30,938,129
31,975,143
32,981,158
33,976,174
34,1000,192
35,1016,210
36,1069,229
37,1039,250
38,1039,271
39,1045,293
40,1039,318
41,1059,343
42,1056,371
43,1056,401
44,1045,433
45,1059,467
46,1054,503
47,1054,541
48,1054,582
49,1056,626
50,1076,673
51,1093,724
52,1103,778
53,1116,835
54,1118,895
55,1134,960
56,1134,1027
57,1147,1099
58,1158,1175
59,1163,1257
60,1188,1343
61,1183,1435
62,1191,1531
63,1199,1635
64,1214,1745
65,1219,1862
66,1229,1987
67,1234,2120
68,1240,2262
69,1251,2412
70,1279,2570
71,1277,2737
72,1280,2914
73,1286,3102
74,1302,3302
75,1309,3514
76,1311,3739
77,1314,3978
78,1325,4233
79,1332,4504
80,1347,4792
81,1359,5099
82,1370,5427
83,1379,5779
84,1387,6155
85,1402,6560
86,1405,6997
87,1412,7472
88,1427,7993
89,1434,8567
90,1446,9205
91,1463,9921
92,1485,10740
93,1504,11707
94,1529,12903
95,1555,14537
96,1556,17263
97,1488,22590
98,1376,31648
99,1209,47001
100,1201.271754,47843
